Time,5 μM SAM,10 μM SAM,20 μM SAM,50 μM SAM,100 μM SAM,200 μM SAM
1.49293,0.052213333,0.060953333,0.0737,0.07426,0.0843,0.079906667
1.50369,0.052086667,0.051893333,0.06775,0.072333333,0.08091,0.071333333
1.51453,0.0482,0.05555,0.07291,0.079096667,0.087523333,0.080426667
1.52545,0.04848,0.05266,0.074616667,0.074793333,0.085096667,0.075763333
1.53644,0.054466667,0.055746667,0.07198,0.078626667,0.082226667,0.079173333
1.5475,0.04992,0.05684,0.072233333,0.073883333,0.08418,0.073993333
1.55864,0.049583333,0.056736667,0.07429,0.072496667,0.08308,0.078386667
1.56986,0.052063333,0.05747,0.069993333,0.075273333,0.081346667,0.07469
1.58116,0.049096667,0.06051,0.073373333,0.074793333,0.086873333,0.075636667
1.59254,0.051603333,0.0591,0.06859,0.077033333,0.083876667,0.075926667
1.60399,0.051803333,0.054276667,0.073323333,0.075843333,0.084936667,0.08093
1.61553,0.05127,0.054056667,0.065473333,0.07634,0.076106667,0.07467
1.62714,0.052543333,0.054853333,0.074243333,0.073953333,0.086876667,0.076696667
1.63884,0.050136667,0.057003333,0.068836667,0.071373333,0.087853333,0.076116667
1.65061,0.050913333,0.058486667,0.065396667,0.07251,0.08358,0.06935
1.66246,0.04854,0.054853333,0.06794,0.06879,0.081836667,0.0763
1.67441,0.0513,0.054666667,0.072466667,0.072326667,0.081806667,0.074386667
1.68642,0.051573333,0.059626667,0.074386667,0.071846667,0.084836667,0.075983333
1.69854,0.046543333,0.056176667,0.06709,0.068916667,0.082913333,0.074466667
1.71072,0.046076667,0.057373333,0.06917,0.069973333,0.081236667,0.074766667
1.723,0.054366667,0.057523333,0.07463,0.074306667,0.088046667,0.07391
1.73536,0.04819,0.049616667,0.071013333,0.076183333,0.08137,0.074486667
1.7478,0.046633333,0.05188,0.06585,0.07532,0.0838,0.077486667
1.76034,0.044783333,0.0506,0.06775,0.070723333,0.078526667,0.07595
1.77295,0.05216,0.055486667,0.069623333,0.07782,0.08142,0.07764
1.78566,0.048906667,0.051073333,0.065766667,0.071106667,0.080083333,0.07209
1.79845,0.049023333,0.053583333,0.064493333,0.06532,0.076753333,0.069976667
1.81134,0.046196667,0.049903333,0.06366,0.07169,0.07672,0.07071
1.8243,0.04636,0.05206,0.064196667,0.06813,0.078536667,0.071796667
1.83736,0.045916667,0.048133333,0.066963333,0.068386667,0.07512,0.0713
1.85051,0.049363333,0.0502,0.067236667,0.07042,0.080163333,0.07251
1.86376,0.047803333,0.048533333,0.06657,0.06589,0.077493333,0.065406667
1.8771,0.042006667,0.053353333,0.06631,0.069136667,0.078206667,0.072093333
1.89052,0.04785,0.052913333,0.06848,0.06901,0.0796,0.07276
1.90405,0.04453,0.048893333,0.064583333,0.066413333,0.077496667,0.063463333
1.91766,0.044256667,0.04597,0.067883333,0.065916667,0.074256667,0.066506667
1.93136,0.04307,0.04647,0.06627,0.06529,0.076536667,0.06174
1.94518,0.04875,0.05764,0.06592,0.070623333,0.07497,0.071936667
1.95907,0.045096667,0.052103333,0.06315,0.06881,0.078783333,0.071506667
1.97306,0.04713,0.053616667,0.069673333,0.070496667,0.081256667,0.072656667
1.98716,0.04682,0.05107,0.06631,0.065133333,0.076003333,0.06756
2.00135,0.043963333,0.048013333,0.06282,0.06828,0.07793,0.0711
2.01564,0.04349,0.051653333,0.06057,0.069223333,0.074466667,0.06882
2.03003,0.042136667,0.043713333,0.065646667,0.063253333,0.069726667,0.065996667
2.04451,0.042103333,0.047526667,0.061763333,0.062913333,0.072796667,0.064973333
2.0591,0.040946667,0.050213333,0.063493333,0.066703333,0.073506667,0.067183333
2.07379,0.048213333,0.051496667,0.066753333,0.070006667,0.0766,0.071066667
2.08857,0.040256667,0.048436667,0.06039,0.06398,0.07274,0.064766667
2.10348,0.045233333,0.045133333,0.063593333,0.063456667,0.071796667,0.067326667
2.11846,0.044263333,0.04967,0.064586667,0.071136667,0.074436667,0.06488
2.13356,0.044263333,0.047826667,0.065213333,0.066683333,0.07328,0.068463333
2.14878,0.039546667,0.046136667,0.061736667,0.065856667,0.07773,0.066713333
2.16409,0.0456,0.052076667,0.067703333,0.072193333,0.08057,0.072693333
2.1795,0.044063333,0.049733333,0.06667,0.066676667,0.07557,0.069596667
2.19502,0.041526667,0.051586667,0.065996667,0.066346667,0.07528,0.068366667
2.21065,0.039023333,0.04818,0.063326667,0.065473333,0.076196667,0.06872
2.2264,0.037893333,0.04417,0.058453333,0.061986667,0.070166667,0.064566667
2.24224,0.04095,0.04659,0.060903333,0.06493,0.07334,0.064536667
2.2582,0.039153333,0.049926667,0.06072,0.064326667,0.076223333,0.069583333
2.27428,0.041553333,0.048983333,0.06547,0.06331,0.07635,0.067843333
2.29045,0.043143333,0.048153333,0.062166667,0.067776667,0.07173,0.068493333
2.30675,0.037093333,0.04734,0.058123333,0.063326667,0.069903333,0.064343333
2.32315,0.040763333,0.046136667,0.060536667,0.060916667,0.069406667,0.064096667
2.33966,0.038603333,0.047066667,0.061296667,0.061323333,0.07001,0.065526667
2.3563,0.03851,0.044416667,0.06161,0.05967,0.070926667,0.06444
2.37305,0.04217,0.04669,0.06686,0.066066667,0.075596667,0.070496667
2.38991,0.04048,0.046316667,0.06278,0.065356667,0.07337,0.064116667
2.4069,0.03627,0.04381,0.061723333,0.059086667,0.07387,0.0604
2.424,0.04149,0.049156667,0.058796667,0.067643333,0.070313333,0.0648
2.44121,0.04022,0.045723333,0.06181,0.06328,0.072096667,0.0645
2.45855,0.036076667,0.043406667,0.057466667,0.062486667,0.070836667,0.062306667
2.47601,0.03868,0.043853333,0.058126667,0.064656667,0.069086667,0.061763333
2.49359,0.03514,0.03988,0.055453333,0.06051,0.067946667,0.059566667
2.51129,0.0337,0.038803333,0.05529,0.057916667,0.065976667,0.058286667
2.52911,0.038176667,0.04708,0.06009,0.0647,0.06883,0.062106667
2.54706,0.0368,0.044086667,0.057173333,0.060743333,0.069696667,0.061273333
2.56514,0.0367,0.04389,0.061356667,0.062803333,0.070723333,0.061566667
2.58332,0.032083333,0.04422,0.05767,0.056273333,0.071393333,0.059086667
2.60165,0.041196667,0.048083333,0.06579,0.064463333,0.07329,0.066626667
2.6201,0.0369,0.03899,0.05889,0.058666667,0.064326667,0.060756667
2.63867,0.04044,0.04397,0.057516667,0.063103333,0.07172,0.062553333
2.65739,0.038,0.04192,0.060783333,0.062756667,0.068886667,0.05859
2.67622,0.03535,0.044546667,0.061,0.062956667,0.070086667,0.06174
2.69519,0.03907,0.045603333,0.060546667,0.06413,0.068803333,0.062873333
2.71429,0.038573333,0.040156667,0.06011,0.061453333,0.066076667,0.061406667
2.73351,0.04165,0.04463,0.061016667,0.058856667,0.070543333,0.06493
2.75288,0.034186667,0.03743,0.051776667,0.054356667,0.064483333,0.055136667
2.77238,0.035146667,0.04329,0.056553333,0.05857,0.068653333,0.062426667
2.79201,0.037813333,0.040133333,0.060626667,0.06193,0.070543333,0.06008
2.81177,0.030666667,0.038946667,0.05457,0.055783333,0.06761,0.056523333
2.83169,0.035523333,0.039526667,0.056186667,0.06025,0.065263333,0.055873333
2.85173,0.034883333,0.042996667,0.05393,0.05779,0.066143333,0.062083333
2.87191,0.034296667,0.04311,0.054263333,0.05674,0.067266667,0.060196667
2.89224,0.031286667,0.03873,0.051463333,0.056116667,0.064266667,0.0593
2.9127,0.034333333,0.040653333,0.05614,0.061383333,0.066793333,0.06004
2.93331,0.034076667,0.041823333,0.05552,0.061763333,0.066066667,0.059946667
2.95405,0.030716667,0.04151,0.055453333,0.056843333,0.067496667,0.059023333
2.97495,0.036703333,0.043976667,0.057353333,0.06026,0.06748,0.05872
2.99599,0.032493333,0.040606667,0.058513333,0.058546667,0.066633333,0.05932
3.01716,0.031256667,0.04177,0.054033333,0.058393333,0.065756667,0.056973333
3.0385,0.034633333,0.044603333,0.056143333,0.059003333,0.064613333,0.06316
3.05997,0.036526667,0.040373333,0.055576667,0.059013333,0.06474,0.056126667
3.0816,0.033166667,0.036613333,0.054823333,0.057676667,0.066286667,0.055703333
3.10337,0.0318,0.042643333,0.052793333,0.056656667,0.068773333,0.057493333
3.12531,0.036083333,0.042916667,0.057966667,0.057716667,0.06952,0.060636667
3.14739,0.033776667,0.041566667,0.055353333,0.054436667,0.066906667,0.055633333
3.16961,0.031606667,0.039586667,0.05453,0.053016667,0.066613333,0.055123333
3.192,0.03331,0.038536667,0.05443,0.054113333,0.0634,0.055506667
3.21455,0.03588,0.041666667,0.055156667,0.057713333,0.065423333,0.058803333
3.23725,0.03599,0.03971,0.055146667,0.057773333,0.066956667,0.06079
3.2601,0.03126,0.03657,0.05337,0.052206667,0.060363333,0.053286667
3.28311,0.03134,0.037683333,0.05396,0.054893333,0.06211,0.054976667
3.30629,0.035286667,0.040503333,0.05808,0.05841,0.06509,0.057296667
3.32962,0.028653333,0.03808,0.05128,0.052173333,0.06367,0.054043333
3.35311,0.032856667,0.038473333,0.052016667,0.055396667,0.062513333,0.057416667
3.37678,0.031153333,0.0363,0.049963333,0.054323333,0.064813333,0.056326667
3.4006,0.035566667,0.03707,0.056906667,0.058786667,0.063456667,0.0544
3.42459,0.03001,0.035883333,0.053693333,0.053383333,0.062683333,0.055063333
3.44874,0.031616667,0.03652,0.052776667,0.05625,0.06339,0.055506667
3.47306,0.027136667,0.03199,0.05007,0.053293333,0.06124,0.050863333
3.49755,0.031826667,0.03803,0.051613333,0.0528,0.05963,0.052786667
3.52221,0.030263333,0.037043333,0.05343,0.055206667,0.063653333,0.055116667
3.54704,0.034223333,0.041883333,0.05252,0.05378,0.06267,0.055776667
3.57205,0.02917,0.036506667,0.05109,0.053526667,0.060463333,0.052403333
3.59722,0.030506667,0.03506,0.050903333,0.053153333,0.061963333,0.053176667
3.62258,0.027406667,0.03373,0.048376667,0.051633333,0.058043333,0.04869
3.6481,0.029796667,0.03553,0.049716667,0.052486667,0.059923333,0.049663333
3.6738,0.030623333,0.03649,0.054943333,0.05318,0.064126667,0.052776667
3.69969,0.033246667,0.037243333,0.055073333,0.05428,0.063333333,0.05658
3.72575,0.025603333,0.034583333,0.04726,0.050586667,0.060766667,0.05131
3.75199,0.02754,0.03625,0.048526667,0.052193333,0.05632,0.04938
3.77841,0.03294,0.034723333,0.048216667,0.055416667,0.059036667,0.055186667
3.80501,0.02676,0.03646,0.04846,0.05176,0.056476667,0.049466667
3.83181,0.031163333,0.03762,0.05169,0.051613333,0.061206667,0.05177
3.85879,0.029803333,0.037426667,0.051883333,0.0532,0.061816667,0.05323
3.88595,0.027453333,0.039093333,0.047366667,0.051643333,0.062163333,0.052263333
3.9133,0.028333333,0.03644,0.048863333,0.054763333,0.061726667,0.050193333
3.94084,0.0349,0.039666667,0.054296667,0.05359,0.063603333,0.053646667
3.96858,0.03221,0.036963333,0.051266667,0.053816667,0.059876667,0.05433
3.9965,0.031633333,0.037456667,0.050373333,0.053303333,0.05517,0.05027
4.02461,0.031016667,0.037046667,0.050433333,0.05061,0.059226667,0.050173333
4.05293,0.02673,0.031923333,0.04807,0.049026667,0.056986667,0.04753
4.08144,0.03057,0.03474,0.051203333,0.052303333,0.05853,0.05092
4.11015,0.02318,0.031016667,0.043023333,0.044533333,0.055,0.0473
4.13905,0.03131,0.03637,0.04973,0.05239,0.061343333,0.053416667
4.16816,0.026063333,0.031993333,0.046023333,0.049416667,0.051893333,0.04859
4.19746,0.026316667,0.030666667,0.049086667,0.04845,0.056926667,0.045286667
